,Mean_of_Stdev,Stdev_of_Stdev,3rd_Stdev_of_Stdev,Final_Cutoff
A2M-AS1,0.6361509870609211,0.08545780303238443,0.2563734090971533,0.8925243961580744
A2ML1,0.5808456186068033,0.13204942548643125,0.39614827645929374,0.976993895066097
A3GALT2,0.6665618242012933,0.12132963844473606,0.3639889153342082,1.0305507395355016
AACS,0.6790910128750718,0.20215874182070895,0.6064762254621269,1.2855672383371988
AADACL3,0.6598038433682721,0.18322015262040614,0.5496604578612184,1.2094643012294906
AADACL4,0.7165659283739004,0.10625968318641506,0.3187790495592452,1.0353449779331456
AAMDC,1.1946834534335873,0.1798033552352236,0.5394100657056707,1.734093519139258
AANAT,1.757712146820338,0.13665205409601097,0.4099561622880329,2.167668309108371
AAR2,0.8943999923817129,0.2250047120477413,0.6750141361432239,1.5694141285249368
AARD,1.1224296583373337,0.20141977869093464,0.6042593360728039,1.7266889944101376
AARS1,1.2647468416099286,0.21692246120452358,0.6507673836135708,1.9155142252234993
AARS2,1.6465512924967722,0.2756393131885265,0.8269179395655796,2.4734692320623517
AASDHPPT,1.0133163984549278,0.10479363936820263,0.3143809181046079,1.3276973165595356
AATF,1.0563923266744524,0.10910601430772184,0.3273180429231655,1.3837103695976178
ABALON,2.5356006474328376,0.16501679236753494,0.4950503771026048,3.0306510245354423
ABAT,0.8330541229050894,0.23590386146756265,0.707711584402688,1.5407657073077774
ABCA17P,0.8401807749865291,0.3064206340508568,0.9192619021525703,1.7594426771390994
ABCA3,0.5684952077063968,0.07650126746228147,0.22950380238684442,0.7979990100932413
ABCA7,0.7682558322074963,0.15976173698474538,0.47928521095423615,1.2475410431617324
ABCB8,0.9037703966711763,0.12424381423444425,0.37273144270333275,1.2765018393745091
ABCC1,0.8206688477503137,0.14086779111533057,0.42260337334599174,1.2432722210963054
ABCC10,0.39801031398428777,0.13372761229089283,0.4011828368726785,0.7991931508569663
ABCC13,1.28896459632909,0.17829061969908439,0.5348718590972532,1.8238364554263433
